AGE (Labels),,Less than 30 years,From 30 to 39 years,From 40 to 49 years,From 50 to 59 years,60 years or over
SEX (Labels),INDIC_SE (Labels),,,,,
Males,Median earnings in euro,12.05,15.37,16.67,17.18,20.18
Males,First decile earnings in euro,7.71,10.67,11.07,11.11,11.05
Males,Ninth decile earnings in euro,18.1,25.52,31.18,33.91,45.42
Females,Median earnings in euro,11.78,14.38,14.63,14.83,16
Females,First decile earnings in euro,8.65,9.85,9.93,9.9,9.95
Females,Ninth decile earnings in euro,17.02,22.47,24.68,25.85,30.62
