,From 16 to 24 years, From 25 to 34 years, From 35 to 49 years, From 50 to 64 years, 65 years or over
Males, 7.3, 7.5, 7.2, 7.4, 8.5
Females, 7.4, 7.2, 7.2, 7.2, 8.1
